Column1,Date,Startup,Industry,Location,Investor,Type,Amount
450,31-07-2018,Five Star Group,Finance,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Unknown,100000000
451,31-07-2018,Healthsignz,Healthcare & Hospitality,Hyderabad,Kantilal Patel,Seed,5000000
453,02-10-2018,Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund ",Seed,11000000
454,04-10-2018,Grover Zampa,Consumables,Mumbai,Ravi Viswanathan,Unknown,8200000
455,05-10-2018,Droom,Automobile,Gurgaon,ZigExN,Series E,3000000
456,11-10-2018,Innov8,Real Estate,Delhi,Credence Family Office,Seed,4000000
457,12-10-2018,Blackbuck,Logistics,Bangalore,Sequoia Capital India,Unknown,14680000
458,12-10-2018,LetsTransport,Logistics,Bangalore,Fosun International,Series C,12000000
459,01-09-2018,Netmeds,Software,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Unknown,35000000
460,03-09-2018,Udaan,Logistics,Bangalore,DST Global and Lightspeed Venture Partners’ global fund.,Unknown,225000000
461,03-09-2018,Daily hunt,Software,Bangalore,Falcon Edge,Unknown,6390000
462,04-09-2018,3HCare,Healthcare & Hospitality,Delhi,Secret,Seed,1000000
464,05-09-2018,Nykaa,Software,Mumbai,Lighthouse,Unknown,157200000
466,06-09-2018,Dream11,Software,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Unknown,100000000
467,10-09-2018,MamaEarth,Healthcare & Hospitality,Gurgaon,Stellaris Ventures & Others,Unknown,4000000
468,11-09-2018,AutoGrid,Software,Bangalore,"CLP Holdings Group, Innogy, Ørstead, and Tenaska",Unknown,32000000
469,11-09-2018,Pharmeasy,Software,Mumbai,InnoVen Capital,Debt,5500000
470,11-09-2018,Upwards,Finance,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Unknown,5000000
471,12-09-2018,Kissht,Finance,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.

",Unknown,30000000
473,01-08-2018,dishq,Consumables,Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners ",Seed,400000
475,02-08-2018,Samosa Labs,Software,Hyderabad,Xiaomi and Sequoia Capital India,Unknown,7000000
476,03-08-2018,ZiffyHomes,Software,Gurgaon,Y Combinator,Unknown,120000
477,07-08-2018,My OmNamo,Software,Mumbai,Secret,Seed,1000000
478,07-08-2018,ShopX,Software,Bangalore,Fung Strategic Holdings,Unknown,35000000
479,07-08-2018,MakeMyTrip,Software,Gurgaon,MakeMyTrip Limited,Unknown,10000000
480,08-08-2018,Hansel io,Software,Bangalore,Vertex Ventures,Seed,4000000
481,08-08-2018,Metro Bikes,Software,Bangalore,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Unknown,12200000
482,08-08-2018,Phone Pe,Software,Bangalore,Flipkart,Unknown,66000000
483,09-08-2018,quizizz,Education,Bangalore,"Nexus Venture Partners, Prime Venture Partners and Others",Seed,3000000
484,09-08-2018,Happy EMI,Finance,Bangalore,AJ Ventures and Jain International Trade Organisation (JITO),Seed,1000000
485,13-08-2018,Inthree,Software,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed,4000000
486,13-08-2018,Observe AI,Software,Bangalore,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Unknown,8000000
487,16-08-2018,Enakshi,Software,Ahmedabad,Secret,Seed,114811
488,17-08-2018,EazyDiner,Software,Gurgaon,Denlow Investment Trust and Beenext,Unknown,5850000
489,20-08-2018,Finzy,Finance,Bangalore,Secret,Seed,1000000
490,20-08-2018,RawPressery,Software,Mumbai,Alteria Capital,Debt,4800000
491,22-08-2018,Pi Ventures,Software,Bangalore,CDC Group plc ,Unknown,6000000
492,22-08-2018,Revv,Software,Gurgaon,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Unknown,14270000
493,26-08-2018,ZestMoney,Software,Bangalore,"Xiaomi,PayU, Ribbit Capital and Omidyar Network ",Unknown,13400000
494,26-08-2018,Shubh Loans,Finance,Bangalore,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Unknown,4200000
495,27-08-2018,MyUpchar,Healthcare & Hospitality,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Unknown,5000000
496,28-08-2018,Narvar,Software,Bangalore,Accel (formerly known as Accel Partners),Unknown,3000000
497,30-08-2018,True North,Finance,Mumbai,Secret,Unknown,600000000
499,02-07-2018,Biryani By Kilo,Software,Gurgaon,Ajay Relan and Vinay Mittal,Seed,1000000
500,04-07-2018,Anchanto,Software,Pune,MDI Ventures & Telkom Indonesia,Unknown,4000000
502,06-07-2018,PolicyBazaar,Software,Gurgaon,Info Edge (India) Ltd and Temasek,Unknown,27700000
503,09-07-2018,zippserv,Software,Bangalore,Info Edge (India) Ltd,Seed,440000
504,09-07-2018,Groww,Software,Bangalore,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed,1100000
505,10-07-2018,Avenue Growth,Software,Gurgaon,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed,437000
507,10-07-2018,Kinara Capital,Finance,Bangalore,ResponsAbility,Unknown,5000000
508,10-07-2018,Shop 101,Software,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma ",Unknown,5000000
